timestamp,local_round,n_records_in_batch,local_train_time,model_delta_norm,total_records_seen,cpu_percent,rx_drop,tx_drop,rx_bytes,tx_bytes,tcp_retrans_segs
1761477586.058611,1,3,0.033,196.155498,18,93.2,0,0,10604,2716,0
1761477586.333885,1,3,0.0317,201.86458,18,99.6,0,0,10270,2716,0
1761477588.1177013,2,1,0.0101,199.22645,24,58.8,0,0,13527,4319,0
1761477588.3711443,2,1,0.0102,200.029854,24,48.5,0,0,13407,4325,0
1761477589.1341314,3,1,0.0112,207.081512,30,10.9,0,0,15403,5939,0
1761477589.387185,3,1,0.0101,197.932731,30,9.5,0,0,15072,5875,0
1761477590.1581473,4,2,0.0202,200.39972,42,8.5,0,0,17633,8039,0
1761477590.412078,4,2,0.0202,191.669813,42,9.0,0,0,17231,7974,0
1761477592.1841664,5,2,0.0201,200.790568,54,10.2,0,0,20184,10137,0
1761477592.439188,5,2,0.0202,190.063875,54,14.3,0,0,19712,10078,0
1761477594.2111626,6,2,0.0202,201.14477,66,44.9,0,0,22451,12238,0
1761477594.4811225,6,2,0.0211,188.078834,66,45.5,0,0,21875,12115,0
1761477595.2262104,7,1,0.0101,189.624056,72,34.5,0,0,23906,13790,0
1761477595.5084047,7,1,0.0106,205.090025,72,31.5,0,0,23540,13668,0
1761477596.2447681,8,1,0.0103,201.832,78,28.7,0,0,25641,15341,0
1761477596.527261,8,1,0.0112,195.261417,78,25.6,0,0,25311,15289,0
1761477598.293613,9,3,0.0305,198.511903,96,18.2,0,0,29065,18055,0
1761477598.566243,9,3,0.0307,193.269963,96,19.5,0,0,28878,17936,0
1761477600.3130941,10,1,0.0102,193.622489,102,24.7,0,0,31464,21479,0
1761477600.5867276,10,1,0.0105,201.671341,102,24.5,0,0,30993,21366,0
1761477601.3301952,11,1,0.0108,189.244093,108,52.8,0,0,32848,23032,0
1761477601.6027803,11,1,0.0103,192.685781,108,52.5,0,0,32377,22919,0
1761477602.3582423,12,2,0.0204,189.413611,120,52.0,0,0,35008,25133,0
1761477602.6387053,12,2,0.0202,190.288693,120,52.2,0,0,34536,25020,0
1761477604.3838818,13,2,0.0204,199.787836,132,31.1,0,0,37168,27237,0
1761477604.681075,13,2,0.0242,196.953562,132,32.8,0,0,36695,27122,0
