global_round,started_at,finished_at,round_time,n_expected,n_received,avg_local_train_time,avg_model_delta_norm,avg_staleness,hosts
1,1761477055.461204,1761477058.6815436,3.22033953666687,3,3,0.0289,196.308384,0,"10.0.1.1,10.0.2.1,10.0.1.1"
2,1761477058.681545,1761477060.437329,1.755784034729004,3,3,0.010233,194.100636,0,"10.0.2.1,10.0.1.1,10.0.2.1"
3,1761477060.4373307,1761477061.4681733,1.0308425426483154,3,3,0.014,196.515395,0,"10.0.1.1,10.0.1.1,10.0.2.1"
4,1761477061.4681747,1761477065.3006709,3.832496166229248,3,3,0.020167,198.967667,0,"10.0.1.1,10.0.2.1,10.0.1.1"
5,1761477065.3006732,1761477066.5409863,1.2403130531311035,3,3,0.014167,197.113206,0,"10.0.2.1,10.0.1.1,10.0.2.1"
6,1761477066.5409887,1761477069.3836076,2.842618942260742,3,3,0.016967,205.147379,0,"10.0.1.1,10.0.2.1,10.0.1.1"
7,1761477069.3836083,1761477071.6242516,2.240643262863159,3,3,0.016933,195.6054,0,"10.0.2.1,10.0.1.1,10.0.2.1"
8,1761477071.624253,1761477073.4634066,1.839153528213501,3,3,0.013533,189.980351,0,"10.0.1.1,10.0.2.1,10.0.1.1"
9,1761477073.4634078,1761477075.6944377,2.231029987335205,3,3,0.024,199.853018,0,"10.0.2.1,10.0.1.1,10.0.2.1"
10,1761477075.6944396,1761477078.1311178,2.436678171157837,3,3,0.026633,196.031597,0,"10.0.1.1,10.0.2.1,10.0.1.1"
11,1761477078.1311207,1761477079.7535958,1.6224751472473145,3,3,0.010233,195.828952,0,"10.0.2.1,10.0.1.1,10.0.2.1"
12,1761477079.753598,1761477081.7896287,2.0360307693481445,3,3,0.021733,197.253393,0,"10.0.1.1,10.0.1.1,10.0.2.1"
13,1761477081.7896295,1761477084.2554429,2.465813398361206,3,3,0.010167,191.402428,0,"10.0.1.1,10.0.2.1,10.0.1.1"
14,1761477084.2554438,1761477085.8475854,1.5921416282653809,3,3,0.0177,189.175173,0,"10.0.2.1,10.0.1.1,10.0.2.1"
